Alemanha;-2.536584;-44.270396
Alto da Esperança;-2.548159;-44.315822
Alto do Calhau;-2.501202;-44.257581
Alto do Pinho;-2.540881;-44.24542
Andiroba;-2.629915;-44.188449
Anel Viário;-2.537184;-44.302003
Angelim;-2.531117;-44.236429
Anil;-2.548481;-44.238682
Anjo da Guarda;-2.559842;-44.32904
Apaco;-2.587483;-44.204174
Apeadouro;-2.539531;-44.276555
Arraial;-2.723819;-44.247308
Aurora;-2.548845;-44.228532
Barreto;-2.547431;-44.259281
Bequimão;-2.530003;-44.246321
Bom Jesus;-2.565726;-44.274752
Brisas do Mar;-2.484759;-44.217407
Cajupari;-2.643762;-44.203405
Cajupe;-2.607473;-44.223146
Camboa;-2.524172;-44.291157
Cantinho do céu;-2.519799;-44.24351
Centro-SLZ;-2.530153;-44.299664
Cidade Nova;-2.589172;-44.312958
Cidade Olímpica;-2.594718;-44.18345
Cidade Operária;-2.573668;-44.199457
Cohab;-2.540507;-44.220078
Cohab-Anil I;-2.536155;-44.221151
Cohab-Anil III;-2.545458;-44.218726
Cohafuma;-2.507301;-44.267349
Cohama;-2.514675;-44.244518
Cohatrac I;-2.540828;-44.20562
Cohatrac II;-2.537998;-44.206538
Cohatrac IV;-2.53504;-44.204049
Conjunto Cial;-2.55832;-44.237888
Conjunto Rio Anil;-2.536284;-44.248338
Conjunto São Raimundo;-2.597269;-44.230077
Coqueiro;-2.73087;-44.35818
Coréia;2.538834;-44.288635
Coroadinho;-2.563829;-44.265997
Coroado;-2.553733;-44.27001
Cruzeiro de Santa Bárbara;-2.601492;-44.217095
Cruzeiro do Anil;-2.540185;-44.230099
Desterro;-2.534997;-44.304686
Diamante;-2.530266;-44.290776
Distrito Industrial;-2.640547;-44.264002
Divinéia;-2.493967;-44.220185
Estiva;-2.756847;-44.348245
Fabril;-2.534501;-44.289502
Fátima;-2.545758;-44.282992
Fé em Deus;-2.529167;-44.27928
Filipinho;-2.552511;-44.263905
Forquilha;-2.555448;-44.215465
Fumacê;-2.560035;-44.338074
Gancharia;-2.555319;-44.321465
Igaraú;-2.755476;-44.31962
Ilhinha;-2.505404;-44.309846
Inhaúma;-2.734214;-44.336872
Ipase;-2.533893;-44.259313
Ipase de Baixo;-2.536133;-44.258423
Ipem-turú;2.522049;-44.216795
Itapera;-2.671284;-44.281511
Itapiracó;-2.532725;-44.213362
Ivar Saldanha;-2.540335;-44.263734
Jaracatí;-2.512832;-44.288292
Jardim América;-2.585501;-44.195337
Jardim Lisboa;-2.566904;-44.191531
Jardim São Cristóvão;-2.571954;-44.225979
João de Deus;-2.558878;-44.231944
João Paulo;-2.547023;-44.27398
Jordôa;-2.546219;-44.266738
Lagoa da Jansen;-2.492916;-44.302025
Liberdade;-44.285545;11
Loteamento Alterosa;-44.247415;0
Macaúba;-2.539006;-44.290631
Madre Deus;-2.539011;-44.299203
Maracanã;-2.637332;-44.285717
Monte Castelo;-2.534483;-44.280224
Novo Angelim;-2.535758;-44.231933
Olho D’água;-2.488136;-44.228125
Outeiro da Cruz;-2.552082;-44.254689
Pão de Açúcar;-2.539263;-44.241343
Parque Athenas;-2.502392;-44.246321
Parque Aurora;-2.538963;-44.21186
Parque Nice Lobão;-2.558342;-44.270246
Parque Timbiras;-2.559671;-44.270954
Pedrinhas;-2.688089;-44.302711
Piquizeiro;-2.537248;-44.234111
Pirapora;-2.558277;-44.243445
Planalto Aurora;-2.555512;-44.225056
Planalto Turu I;-2.496036;-44.224616
Ponta do Farol;-2.488608;-44.298098
Portelinha;-2.497863;-44.249974
Primavera/Coroadinho;-2.566294;-44.280481
Proab-Anjo da Guarda;-2.556637;-44.335059
Quebra Pote;-2.694348;-44.21804
Recanto Fialho;-2.509294;-44.234744
Recanto Verde;-2.593367;-44.251007
Recanto Vinhais;-2.521599;-44.263272
Renascença I;-2.506358;-44.295974
